epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.65679,1.87511,3.19173,1.97749,0.78937,0.60238,0.68467,0.40967,1.31838,2.05477,1.63168,0.00026,0.00026,0.00026
2,13.8608,1.36298,1.73403,1.58885,0.86797,0.79524,0.88694,0.602,1.09357,1.33052,1.47788,0.000538218,0.000538218,0.000538218
3,20.4281,1.20265,1.21415,1.43436,0.95651,0.89012,0.95368,0.67604,1.06348,0.92575,1.5574,0.000814588,0.000814588,0.000814588
4,26.2071,1.13946,0.9689,1.47259,0.97283,0.93762,0.95408,0.67997,1.02839,0.78197,1.6135,0.00108911,0.00108911,0.00108911
5,33.1922,1.12925,0.84296,1.49825,0.99254,0.95067,0.97219,0.71807,1.01001,0.64251,1.54987,0.00136178,0.00136178,0.00136178
6,38.2765,1.11691,0.72851,1.468,0.99499,0.94508,0.97092,0.71798,0.99334,0.58569,1.56818,0.00163261,0.00163261,0.00163261
7,44.4077,1.08267,0.70007,1.4892,0.99752,0.956,0.97897,0.73726,0.94742,0.55484,1.61432,0.00190159,0.00190159,0.00190159
8,49.5767,1.08421,0.66879,1.43918,0.9975,0.94895,0.98264,0.74896,0.94232,0.53485,1.52517,0.0019538,0.0019538,0.0019538
9,55.4704,1.03683,0.61885,1.41622,0.9879,0.95476,0.98031,0.74247,0.93979,0.50558,1.5831,0.0019472,0.0019472,0.0019472
10,60.7842,1.05692,0.63629,1.44331,0.99596,0.95476,0.97734,0.75258,0.92602,0.52401,1.56037,0.0019406,0.0019406,0.0019406
11,65.8215,1.01369,0.61025,1.46435,0.99749,0.94615,0.97725,0.75594,0.9571,0.5062,1.52576,0.001934,0.001934,0.001934
12,71.9991,1.01359,0.59072,1.44555,0.98715,0.95714,0.97824,0.7574,0.91518,0.49254,1.58285,0.0019274,0.0019274,0.0019274
13,77.1332,1.04296,0.60938,1.44532,0.98984,0.95476,0.97681,0.74322,0.93325,0.51377,1.64821,0.0019208,0.0019208,0.0019208
14,83.5774,1.01296,0.5751,1.41421,0.99902,0.95952,0.97557,0.76243,0.89147,0.46475,1.61806,0.0019142,0.0019142,0.0019142
15,88.6385,0.96358,0.54802,1.4445,0.9956,0.95714,0.97898,0.77527,0.88106,0.45865,1.53487,0.0019076,0.0019076,0.0019076
16,94.7826,0.96812,0.55067,1.41377,0.99338,0.95476,0.97556,0.76994,0.90048,0.45894,1.53614,0.001901,0.001901,0.001901
17,99.8801,0.96033,0.54449,1.43174,1,0.95317,0.97646,0.77172,0.90324,0.45164,1.48595,0.0018944,0.0018944,0.0018944
18,104.995,0.99976,0.56523,1.49344,0.99752,0.95612,0.9802,0.77701,0.89112,0.4584,1.54943,0.0018878,0.0018878,0.0018878
19,111.088,0.97102,0.54246,1.38852,0.99454,0.95714,0.9786,0.77457,0.89207,0.45299,1.51747,0.0018812,0.0018812,0.0018812
20,116.143,0.9698,0.53976,1.41314,0.99059,0.95,0.97754,0.7608,0.87384,0.45921,1.53746,0.0018746,0.0018746,0.0018746
21,122.372,0.92924,0.52583,1.37754,1,0.95468,0.97584,0.77035,0.8907,0.45192,1.48181,0.001868,0.001868,0.001868
22,128.643,0.94818,0.52979,1.36384,0.98944,0.9619,0.98156,0.77793,0.86936,0.44603,1.54422,0.0018614,0.0018614,0.0018614
23,134.819,0.972,0.53255,1.44265,0.983,0.9637,0.97944,0.78173,0.87033,0.44831,1.50125,0.0018548,0.0018548,0.0018548
24,140.179,0.94379,0.52871,1.38104,1,0.96117,0.98221,0.7729,0.90069,0.44972,1.55118,0.0018482,0.0018482,0.0018482
25,145.968,0.95747,0.54133,1.43761,0.99508,0.96396,0.9815,0.76302,0.88484,0.45989,1.56492,0.0018416,0.0018416,0.0018416
26,151.37,0.93105,0.53163,1.38692,0.99255,0.95158,0.97673,0.76425,0.87636,0.46115,1.55478,0.001835,0.001835,0.001835
27,156.418,0.93696,0.52864,1.40823,0.99395,0.9619,0.98178,0.77121,0.86663,0.44091,1.51967,0.0018284,0.0018284,0.0018284
28,162.744,0.91458,0.51002,1.39082,0.9878,0.96428,0.98262,0.78308,0.85115,0.42968,1.58614,0.0018218,0.0018218,0.0018218
29,167.89,0.92451,0.50683,1.37886,0.99251,0.96667,0.98434,0.78875,0.84499,0.42334,1.53557,0.0018152,0.0018152,0.0018152
30,174.193,0.92078,0.50991,1.36297,0.99704,0.97381,0.98802,0.77746,0.88632,0.42909,1.51823,0.0018086,0.0018086,0.0018086
31,179.342,0.91344,0.49972,1.36979,0.99967,0.96905,0.9858,0.78392,0.88596,0.41681,1.49663,0.001802,0.001802,0.001802
32,185.401,0.91883,0.51041,1.39688,0.99781,0.95952,0.97936,0.78984,0.85021,0.42286,1.52057,0.0017954,0.0017954,0.0017954
33,190.599,0.87981,0.49406,1.3547,0.99953,0.9619,0.98026,0.78938,0.84359,0.41107,1.52836,0.0017888,0.0017888,0.0017888
34,195.793,0.91517,0.5055,1.35021,0.99976,0.96905,0.9831,0.79371,0.86155,0.42249,1.50707,0.0017822,0.0017822,0.0017822
35,201.905,0.89745,0.50538,1.34827,0.99711,0.97381,0.98536,0.80084,0.82419,0.41058,1.4945,0.0017756,0.0017756,0.0017756
36,207.028,0.89199,0.4929,1.37142,0.99951,0.96905,0.98478,0.79749,0.83054,0.41002,1.4972,0.001769,0.001769,0.001769
37,213.207,0.87985,0.48816,1.38445,0.99509,0.96905,0.98458,0.79932,0.82253,0.412,1.50968,0.0017624,0.0017624,0.0017624
38,218.259,0.89738,0.48975,1.3506,0.99755,0.96905,0.98437,0.79351,0.83246,0.4122,1.5027,0.0017558,0.0017558,0.0017558
39,224.161,0.89104,0.49674,1.31989,0.99734,0.97143,0.98637,0.78524,0.83792,0.40968,1.53264,0.0017492,0.0017492,0.0017492
40,229.402,0.89144,0.48924,1.36586,0.99552,0.96905,0.98612,0.78454,0.85361,0.42,1.53141,0.0017426,0.0017426,0.0017426
41,234.478,0.88266,0.49588,1.33092,0.9967,0.96667,0.98068,0.78087,0.86992,0.42742,1.56423,0.001736,0.001736,0.001736
42,240.648,0.8668,0.48889,1.31993,1,0.96867,0.98611,0.79381,0.85542,0.41295,1.53407,0.0017294,0.0017294,0.0017294
43,245.697,0.86413,0.47109,1.37602,0.9873,0.96667,0.98183,0.79555,0.82781,0.41038,1.51088,0.0017228,0.0017228,0.0017228
44,251.918,0.87567,0.48832,1.38361,0.99512,0.97121,0.98827,0.78722,0.85414,0.4229,1.50543,0.0017162,0.0017162,0.0017162
45,256.915,0.86946,0.50264,1.36619,0.99088,0.96429,0.98389,0.7971,0.83173,0.41586,1.50683,0.0017096,0.0017096,0.0017096
46,262.759,0.84066,0.47064,1.30788,0.99509,0.96607,0.98316,0.78009,0.85889,0.42596,1.59044,0.001703,0.001703,0.001703
47,267.98,0.93097,0.51573,1.39156,1,0.96643,0.98469,0.78848,0.83993,0.41846,1.50116,0.0016964,0.0016964,0.0016964
48,273.042,0.86114,0.49434,1.35072,0.99482,0.96667,0.98582,0.78745,0.85009,0.40653,1.49683,0.0016898,0.0016898,0.0016898
49,279.24,0.87726,0.48535,1.31906,0.99856,0.96905,0.98731,0.79269,0.86384,0.41199,1.49362,0.0016832,0.0016832,0.0016832
50,284.323,0.88405,0.48967,1.36006,0.99512,0.97113,0.98888,0.80061,0.82987,0.40605,1.45689,0.0016766,0.0016766,0.0016766
51,291.563,0.84958,0.47223,1.30957,1,0.96658,0.98527,0.79324,0.84577,0.42661,1.51183,0.00167,0.00167,0.00167
52,296.761,0.87356,0.49504,1.32361,0.99756,0.97345,0.99,0.79836,0.84178,0.40889,1.48468,0.0016634,0.0016634,0.0016634
53,303.033,0.85415,0.47772,1.321,0.9995,0.96905,0.98454,0.79193,0.84038,0.4168,1.44468,0.0016568,0.0016568,0.0016568
54,308.122,0.90489,0.5056,1.39261,0.99788,0.96429,0.9831,0.79134,0.83317,0.40242,1.49924,0.0016502,0.0016502,0.0016502
55,313.731,0.82073,0.45953,1.31566,0.99716,0.96667,0.98738,0.79422,0.82149,0.40958,1.48219,0.0016436,0.0016436,0.0016436
56,319.385,0.85827,0.48063,1.32704,0.99512,0.97132,0.98992,0.80012,0.81796,0.40528,1.46708,0.001637,0.001637,0.001637
57,324.468,0.84725,0.47488,1.3305,0.99744,0.96905,0.98869,0.79669,0.83207,0.39786,1.43074,0.0016304,0.0016304,0.0016304
58,331.02,0.82817,0.46172,1.29651,0.99272,0.9735,0.9878,0.79024,0.84711,0.40797,1.47605,0.0016238,0.0016238,0.0016238
59,336.085,0.84611,0.46658,1.32936,0.99477,0.97381,0.98661,0.79389,0.82919,0.39925,1.46602,0.0016172,0.0016172,0.0016172
60,342.369,0.82605,0.46595,1.32274,1,0.96871,0.98555,0.79992,0.8167,0.39494,1.48359,0.0016106,0.0016106,0.0016106
61,347.415,0.83239,0.46501,1.30294,0.99419,0.97143,0.98771,0.7996,0.81752,0.39697,1.48438,0.001604,0.001604,0.001604
62,353.062,0.81801,0.46787,1.33382,0.99952,0.97381,0.98831,0.79903,0.80014,0.39318,1.5483,0.0015974,0.0015974,0.0015974
63,358.522,0.81726,0.4463,1.3131,0.99667,0.96905,0.98537,0.80465,0.80024,0.39541,1.46588,0.0015908,0.0015908,0.0015908
64,363.826,0.82136,0.46009,1.29819,0.99733,0.97381,0.98888,0.79892,0.82391,0.39354,1.49252,0.0015842,0.0015842,0.0015842
65,370.048,0.84968,0.45946,1.34257,0.9997,0.97381,0.98748,0.79642,0.82155,0.39532,1.54012,0.0015776,0.0015776,0.0015776
66,375.209,0.81482,0.45282,1.28652,0.99731,0.96667,0.98655,0.80155,0.80035,0.38905,1.46338,0.001571,0.001571,0.001571
67,381.39,0.78197,0.43751,1.27616,0.997,0.97143,0.98916,0.80577,0.7993,0.39179,1.50241,0.0015644,0.0015644,0.0015644
68,386.498,0.80351,0.4456,1.30181,0.99711,0.97381,0.99011,0.8191,0.77129,0.383,1.43955,0.0015578,0.0015578,0.0015578
69,392.326,0.78896,0.45615,1.3159,0.99498,0.97381,0.98888,0.80631,0.80216,0.39698,1.45836,0.0015512,0.0015512,0.0015512
70,397.891,0.81431,0.46785,1.31921,0.99711,0.96667,0.98561,0.80687,0.80453,0.38945,1.4532,0.0015446,0.0015446,0.0015446
71,403.058,0.8052,0.45403,1.2915,0.99756,0.97334,0.9913,0.79181,0.85095,0.41411,1.56521,0.001538,0.001538,0.001538
72,409.38,0.81607,0.46691,1.29633,1,0.969,0.98684,0.79689,0.82389,0.39985,1.49336,0.0015314,0.0015314,0.0015314
73,414.53,0.80993,0.44642,1.29432,1,0.97108,0.98796,0.80367,0.80433,0.38957,1.50823,0.0015248,0.0015248,0.0015248
74,420.783,0.78519,0.44289,1.31063,0.99757,0.97575,0.99072,0.80451,0.80824,0.39215,1.45749,0.0015182,0.0015182,0.0015182
75,425.823,0.79578,0.45056,1.30152,0.9964,0.97619,0.99004,0.79485,0.83377,0.39397,1.54665,0.0015116,0.0015116,0.0015116
76,431.565,0.80141,0.44486,1.28788,1,0.97562,0.99044,0.80698,0.78402,0.38101,1.50971,0.001505,0.001505,0.001505
77,437.053,0.78134,0.44468,1.30777,0.99756,0.97307,0.98951,0.80971,0.7968,0.38893,1.46799,0.0014984,0.0014984,0.0014984
78,442.127,0.78813,0.44644,1.29711,0.99727,0.97143,0.98857,0.80555,0.78521,0.38352,1.48841,0.0014918,0.0014918,0.0014918
79,448.264,0.77899,0.44358,1.26608,0.99031,0.97303,0.98858,0.79388,0.81128,0.41105,1.52607,0.0014852,0.0014852,0.0014852
80,454.493,0.78967,0.45736,1.30954,1,0.97574,0.99102,0.80706,0.81492,0.39547,1.43119,0.0014786,0.0014786,0.0014786
